name,area,totalRatingsString,deliveryTime,address,locality,cuisines,costForTwoString,,,
Fresh Eater,Sector V Salt Lake,Too Few Ratings,52,330/1 ; Chnadiberia; Bidhannagar; Krishnapur; north 24 parganas- 700102; ward no - 25 ; bidhannagar rajarhat muncipal corporation,Sector V Salt Lake,['Indian' 'Thalis'],₹300 FOR TWO,,,
Cafe Mezzuna,MANI SQUARE MALL,Too Few Ratings,53,164/1;MANICKTALA MAIN ROAD;MANI SQUARE MALL;4TH FLOOR;WARD NO.31; KOLKATA MUNICIPAL CORPORATION; Kolkata(West Bengal) -700054,MANI SQUARE MALL,['Italian' 'Mediterranean'],₹1200 FOR TWO,,,
Waffle Delight,Salt Lake,Too Few Ratings,49,NP -232 NAYAPATTI;SALTLAKE SECTOR 5; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Newtown,['Desserts' 'Beverages'],₹250 FOR TWO,,,
Fusion Pavilion,Bidhannagar,20+ ratings,56,Vivekanandan Yuba Bharati Krirangan; The Stadel Hotel; Gate No.3; Saltlake; Sector-3; Kolkata700064,Salt Lake,['American' 'Italian'],₹300 FOR TWO,,,
Sandwich Gali,Salt Lake,Too Few Ratings,48,NP-232 NAYAPATTI NEAR CHOCK MANDIR KOLKATA-700102,Salt Lake,['Fast Food'],₹250 FOR TWO,,,
Waffle Treats,Salt Lake,Too Few Ratings,52,NP-232 NAYAPATTI NEAR CHOCK MANDIR KOLKATA-700102,Salt Lake,['Desserts'],₹250 FOR TWO,,,
LANDS OF ICECREAM,Sector V Salt Lake,Too Few Ratings,54,NP -232 NAYAPATTI;SALTLAKE SECTOR 5 ;  WARD NO-28 ; BIDHANNAGAR-RAJARHAT  MUNICIPAL CORPORATION; North Twenty  Four Parganas; West Bengal-700102,Sector V Salt Lake,['Fast Food' 'Chinese' 'Pizzas' 'Beverages'],₹300 FOR TWO,,,
Barista,Bidhannagar,20+ ratings,65,Ground floor; Infinity Benchmark Building; GP Block; Salt Lake;Sector 5; Kolkata; West Bengal 700091,Salt Lake,['Beverages' 'Snacks' 'Desserts'],₹350 FOR TWO,,,
Sandwich Wale,Salt Lake,Too Few Ratings,55,NP-232 NAYAPATTI NEAR CHOCK MANDIR KOLKATA-700102,Salt Lake,['Fast Food' 'Italian' 'Desserts'],₹250 FOR TWO,,,
Mytee Bites,Salt Lake,Too Few Ratings,48,NP -232 NAYAPATTI;SALTLAKE SECTOR 5; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Salt Lake,['Indian' 'Beverages' 'Ice Cream'],₹250 FOR TWO,,,
thickR,Salt Lake,Too Few Ratings,51,NP 375; Nayapatti Main Road; Salt Lake; Sector 5; WARD NO-14; BIDHANNAGARRAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal ,Salt Lake,['Beverages'],₹250 FOR TWO,,,
SNACKOO POINT,Eco Park Newtown,Too Few Ratings,50,NP -232 NAYAPATTI;SALTLAKE SECTOR 5; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Eco Park Newtown,['Snacks' 'Desserts' 'Beverages'],₹200 FOR TWO,,,
The Mighty Bowl,Salt Lake,Too Few Ratings,47,MAHANANDA APARTMENT; NAYAPATTI; P.O KRISHNAPUR; KOLKATA; BIDHANNAGAR RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal-700102,Salt Lake,['North Indian' 'Tandoor'],₹600 FOR TWO,,,
BIHAR CAFE,Sector V Salt Lake,Too Few Ratings,52,NAYAPATTY; SALT LAKE SEC-5; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; ; West Bengal; 700102,Sector V Salt Lake,['Beverages' 'Fast Food'],₹100 FOR TWO,,,
The Mad Chef,Sector V Salt Lake,Too Few Ratings,53,NP325; Bidhannagar-Rajarhat Municipal Corporation; North Twenty Four Parganas; West Bengal,Sector V Salt Lake,['Indian' 'Chinese' 'Mughlai' 'Biryani' 'Tandoor' 'Snacks'],₹250 FOR TWO,,,
Appetizers Snacks,Salt Lake,Too Few Ratings,53,NP-232 NAYAPATTI NEAR CHOCK MANDIR KOLKATA-700102,Salt Lake,['Italian' 'Fast Food' 'Beverages'],₹250 FOR TWO,,,
WORLD OF ICECREAM,Eco Park Newtown,Too Few Ratings,50,NP -232 NAYAPATTI;SALTLAKE SECTOR 5; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Eco Park Newtown,['Ice Cream' 'Beverages'],₹200 FOR TWO,,,
ICE CREAMERS,Sector V Salt Lake,Too Few Ratings,49,NP -232 NAYAPATTI;SALTLAKE SECTOR 5; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Sector V Salt Lake,['Ice Cream' 'Beverages'],₹300 FOR TWO,,,
CAFETERIA HOUSE,Salt Lake,Too Few Ratings,53,NP-232; Nayapatti Main Rd; AP Block; Sector V; Bidhannagar; Kolkata; West Bengal 700091; India,Salt Lake,['Pizzas' 'Fast Food' 'Beverages'],₹250 FOR TWO,,,
THE ULTIMATE WRAP,Sector V Salt Lake,Too Few Ratings,49,NP -232 NAYAPATTI;SALTLAKE SECTOR 5;  WARD NO-28; BIDHANNAGAR-RAJARHAT  MUNICIPAL CORPORATION; North Twenty  Four Parganas; West Bengal - 700102,Sector V Salt Lake,['Fast Food' 'Combo'],₹300 FOR TWO,,,
Burger Kitchen,Sector V Salt Lake,Too Few Ratings,48,NP -232 NAYAPATTI;SALTLAKE SECTOR 5;  WARD NO-28; BIDHANNAGAR-RAJARHAT  MUNICIPAL CORPORATION; North Twenty  Four Parganas; West Bengal - 700102,Sector V Salt Lake,['American' 'Fast Food' 'Italian'],₹200 FOR TWO,,,
The Waffle House,Bidhannagar,Too Few Ratings,55,SHOP NO - NP-290 ;NAYAPATTI SALTLAKE SECTOR -5 KOLKATA-102 (OPPOSITE CHOK MANDIR),Opposite Chok Mandir,['Desserts'],₹200 FOR TWO,,,
Yoga Bowl,Salt Lake,20+ ratings,47,NP - 238/A; NAYAPATTY; GROUND FLOOR; SALT LAKE; SEC - V; NORTH TWENTY FOUR PARGANAS; WEST BENGAL - 700102,Salt Lake,['Salads' 'Healthy Food' 'Snacks' 'Fast Food'],₹200 FOR TWO,,,
Blue Orchid,Sector V Salt Lake,Too Few Ratings,52,NP -232 NAYAPATTI;SALTLAKE SECTOR 5;  WARD NO-28; BIDHANNAGAR-RAJARHAT  MUNICIPAL CORPORATION; North Twenty  Four Parganas; West Bengal - 700102,Sector V Salt Lake,['Snacks' 'Fast Food' 'Pizzas'],₹200 FOR TWO,,,
Biriyaan 1620,Salt Lake,Too Few Ratings,50,MAHANANDA APARTMENT; NAYAPATTI; P.O KRISHNAPUR; KOLKATA; BIDHANNAGAR RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal-700102,Salt Lake,['Biryani' 'Mughlai'],₹600 FOR TWO,,,
Myfroyoland,Salt Lake,Too Few Ratings,50,Globsyn Crystals; EP Block; Sector V; Bidhannagar; Kolkata; West Bengal 700091,Salt Lake,['Desserts' 'Ice Cream' 'Keto'],₹400 FOR TWO,,,
Babu Tumi Khaiso,Sector V Salt Lake,Too Few Ratings,57,NP -232 NAYAPATTI;SALTLAKE SECTOR 5;  WARD NO-28; BIDHANNAGAR-RAJARHAT  MUNICIPAL CORPORATION; North Twenty  Four Parganas; West Bengal - 700102,Sector V Salt Lake,['Chinese' 'North Indian' 'Biryani'],₹200 FOR TWO,,,
Biriyaan 1620,Salt Lake,Too Few Ratings,50,SARDARPARA; OPPOSITE TCS GITANJALI; JAMSHEDJI; TATA ROAD; CHAKPANCHURIA; RAJARHAT; RAJARHAT BISHNUPUR-I; RAJARHAT; North Twenty Four Parganas; West Bengal - SARDARPARA; OPPOSITE TCS GITANJALI; JAMSHED,Salt Lake,['Biryani' 'Mughlai'],₹600 FOR TWO,,,
SNACKS ON TIME,Salt Lake,Too Few Ratings,50,NP -232 NAYAPATTI;SALTLAKE SECTOR 5; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Salt Lake,['Desserts'],₹250 FOR TWO,,,
WRAPEE JUNCTION,Eco Park Newtown,Too Few Ratings,46,NP -232 NAYAPATTI;SALTLAKE SECTOR 5; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Eco Park Newtown,['Snacks' 'Chinese'],₹300 FOR TWO,,,
Gupta Cafe,Bidhannagar,20+ ratings,51,NP-265 AP Block; Sector V; Nayapatty; Sector5; Kolkata; West Bengal 700102,Salt Lake,['Snacks' 'Beverages'],₹200 FOR TWO,,,
Cloud9 Kitchen (RED XPRESS (UNIT OF REVELLERZ PVT,Sector V Salt Lake,Too Few Ratings,52,BENGAL INTELLIGENT PARK;BLOCK EP AND  GP;PLOT  NO.A2;M2;N2;SALTLAKE;BIDHANNAGAR;  BIDHANNAGAR-RAJARHAT MUNICIPAL  CORPORATION; North Twenty Four Parganas;  West Bengal-700091,Sector V Salt Lake,['North Indian' 'Indian' 'Snacks' 'Chinese'],₹900 FOR TWO,,,
Tewari Confectioners Mithaiwala Pvt Ltd,Kankurgachi,500+ ratings,40,P-38;C.I.T Road;Scheme VII-M;Kolkata,Burrabazar,['Sweets' 'Chaat' 'Fast Food' 'Snacks'],₹150 FOR TWO,,,
Beans and Roots,Salt Lake,Too Few Ratings,52,Paribahan Bhawan; Ground Floor; Gate No.2 Stadium Complex; Rd Number 1A; JB Block; Sector III; Bidhannagar; Kolkata; West Bengal 700106; India,Salt Lake,['Chinese' 'Italian' 'Snacks' 'Mexican' 'Fast Food' 'Continental' 'Cafe'],₹600 FOR TWO,,,
ALT-The Healthy Kitchen,Bidhannagar,500+ ratings,51,MB 64; Mahesh Bathan; West Bengal 700102,Beside Srishti Apartment,['Healthy Food' 'Thalis' 'Beverages' 'Pizzas' 'Chinese'],₹400 FOR TWO,,,
Diamond Hotel and Restaurant,Ultadanga,100+ ratings,55,P 168 CIT Scheme 7  Near Bidhannagar railway station Kol-54,Near Bidhanagar Railway station Autostand,['Mughlai' 'Indian' 'Chinese' 'Tandoor'],₹350 FOR TWO,,,
Dreams Cafe,Bidhannagar,100+ ratings,60,P-351; Sukant Nagar; Sector IV; Bidhannagar; Kolkata; West Bengal 700098; India,Salt Lake,['North Indian'],₹300 FOR TWO,,,
Swade alhade kolkata,Bidhannagar,50+ ratings,57,Mahisbathan;PO-Krishnapur;Electronic Complex Police Station;Kolkata-700102; North Twenty Four Parganas;700102,Salt Lake,['Chinese' 'Indian'],₹250 FOR TWO,,,
The Pulp Co.,Kankurgachi,100+ ratings,55,120A; Maniktala Main Road Kankurgachi; BRS 10; Ghose Bagan; Kolkata; West Bengal 700054; India,Kankurgachi,['Juices' 'Salads' 'Healthy Food' 'Desserts' 'Beverages'],₹200 FOR TWO,,,
Ritaz Al Baik,Ultadanga,Too Few Ratings,71,P/187; CIT SCHEME VII M; ULTADANGA;  KOLKATA;  WEST BENGAL 700054,ULTADANGA,['Indian' 'Chinese'],₹200 FOR TWO,,,
Meal Ministry,Kankurgachi,50+ ratings,55,120A; Satin Sen Sarani; Ward No.-32; Borough- III; Kolkata Municipal Corporation; Kolkata; West Bengal- 700054,Burrabazar,['North Indian' 'Punjabi' 'Thalis' 'Desserts' 'Beverages'],₹300 FOR TWO,,,
Zaiqa Biryani,Sector V Salt Lake,Too Few Ratings,50,MAHISBATHAN; MB 249; P.OKRISHNAPUR; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Sector V Salt Lake,['Biryani' 'Chinese'],₹200 FOR TWO,,,
Rosoighorer Rohosyo,Beleghata,100+ ratings,59,I - 256 Sukanta nagar;  Salt Lake;  Sector- 4 ;  Kolkata - 700098,Sukanta nagar,['Bengali' 'Thalis' 'Combo' 'Snacks' 'Tandoor'],₹300 FOR TWO,,,
Food Zone,Burrabazar,20+ ratings,62,P153/1A; C.I.T. Road; Scheme VIIM; Ultadanga; Kolkata,Near PC Chnadra Jewellers,['Indian' 'Chinese'],₹350 FOR TWO,,,
jungle house,Salt Lake,Too Few Ratings,50,KB Block; Sector III; Bidhannagar; Kolkata; West Bengal 700098; India,Salt Lake,['Indian'],₹200 FOR TWO,,,
jungle house,Salt Lake,Too Few Ratings,50,KB Block; Sector III; Bidhannagar; Kolkata; West Bengal 700098; India,Salt Lake,['Indian'],₹200 FOR TWO,,,
HOTPOT FAST FOOD,Dumdum,Too Few Ratings,53,17/K/6 DAKSHINDARI ROAD LP - 160/1/7 KOLKATA 700048; DUM DUM MUNICIPALITY; North Twenty Four Parganas; ; West Bengal; 700048,Dumdum,['Indian'],₹200 FOR TWO,,,
The Tunnel,Kankurgachi,100+ ratings,54,120 A; Manicktala Main Road; Kankurgachi; Kolkata,Near Kankurgachi Post Office,['Mexican' 'Continental' 'Indian' 'Italian'],₹500 FOR TWO,,,
THE CHINESE SPECIALIST RESTAURANT,Salt Lake, Sector 5,Too Few Ratings,53,MB 215 MAHISHBATHAN SALTLAKE SECTOR 5 BIDDHANNAGAR BIDHANNAGAR RAJARHAT MUNICIPAL CORPORATION NORTH TWENTY FOUR PARGANAS WESTBENGAL-700102,New Area,['Chinese' 'Biryani' 'Snacks'],₹300 FOR TWO,,
The Biryani Junction,Sector V Salt Lake,Too Few Ratings,56,MB-249 MAHISHBATHAN; PO KRISHNAPUR; PS ELECTRONIC COMPLEX; WARD NO-28; BIDHANNAGAR RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Sector V Salt Lake,['Biryani' 'Indian' 'Chinese'],₹150 FOR TWO,,,
Supper Me,Salt Lake,100+ ratings,53,Block LB; Plot no 1; Sector 3; Salt  lake; KOLKATA MUNICIPAL  CORPORATION; Kolkata; ; West  Bengal; 700013,Salt Lake,['Continental' 'Chinese' 'Beverages' 'Snacks'],₹350 FOR TWO,,,
Kathleen,Burrabazar,100+ ratings,44,85; Ultadanga Main Rd; CIT Scheme VII M; Ultadanga; Kolkata - 700067,Burrabazar,['Desserts' 'Bakery' 'Snacks' 'Continental'],₹200 FOR TWO,,,
Quick Bite Cafe,Kankurgachi,20+ ratings,45,P-54; C.I.T.Road; Scheme VII-M; Kolkata - 700054,Kankurgachi,['South Indian'],₹150 FOR TWO,,,
KABULIWALA,Salt Lake,100+ ratings,50,MB 232; MAHISHBATHAN;SALT LAKE SECTOR-5;KOLKATA-700102; BIDHANNAGARRAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal-700102,Salt Lake,['Biryani' 'Mughlai' 'Kebabs' 'Indian' 'Desserts'],₹400 FOR TWO,,,
Levanilla.in,Kankurgachi,20+ ratings,57,P-212; Scheme VI-M; Kadapara; Phool Bagan; Kankurgachi; Kolkata; West Bengal 700054; India,Burrabazar,['Bakery' 'Desserts' 'Sweets'],₹700 FOR TWO,,,
Garden Cafe,KANKURGACHI,20+ ratings,57,258 Swami Swarupanand Sarani; CIT Scheme VI (M); Kolkata - 700054,Burrabazar,['South Indian' 'Beverages' 'Chinese'],₹300 FOR TWO,,,
JADE - Asian Eats,Salt Lake,100+ ratings,60,Mb 231; Maheshbatan; BIDHANNAGAR kolkata 700102,Salt Lake,['Pan-Asian' 'Japanese' 'Thai'],₹500 FOR TWO,,,
Paratha Pundit,Kankurgachi,20+ ratings,56,120A; Satin Sen Sarani; Ward No.-32; Borough- III; Kolkata Municipal Corporation; Kolkata; West Bengal- 700054,Burrabazar,['North Indian' 'Punjabi' 'Indian' 'Fast Food' 'Beverages' 'Desserts'],₹300 FOR TWO,,,
UNO Pizzeria & Grill- Kankurgachi,Kankurgachi,100+ ratings,53,89C; Narkeldanga Main Rd; Kadapara; Phool Bagan; Kankurgachi; Kolkata; West Bengal 700054; India,Kankurgachi,['Pizzas' 'Pastas' 'Beverages' 'Continental' 'Desserts'],₹400 FOR TWO,,,
T & MORE,Kankurgachi,Too Few Ratings,48,190/B MANICKTALA MAIN ROAD;KOLKATA MUNICIPAL CORPORATION;KOLKATA;WEST BENGAL,Kankurgachi,['Beverages' 'Fast Food' 'Snacks'],₹300 FOR TWO,,,
Bulus Kitchen,Salt Lake,Too Few Ratings,50,61; near shristy apartment mahishbathan; Mahish Bathan; Sector V; Bidhannagar; Kolkata; West Bengal 700102; India,Salt Lake,['Indian' 'Thalis'],₹500 FOR TWO,,,
HSSS Hospitality,Burrabazar,Too Few Ratings,50,120A;SATIN SEN SARANI;WARD No.032 ; BOROUGH- III ; KOLKATA MUNICIPAL CORPORATION; Kolkata; West Bengal-700054,Burrabazar,['Indian' 'Beverages'],₹300 FOR TWO,,,
DOSHOBHUJA RESTORA,Salt Lake, Sector 5,Too Few Ratings,51,MB 293 A MAHISBATHAN ANKITA  APPARTMENT; WARD NO-28;  BIDHANNAGAR-RAJARHAT MUNICIPAL  CORPORATION; North Twenty Four  Parganas; West Bengal - 700102,Rajarhat,['Chinese' 'North Indian' 'Biryani' 'Snacks'],₹300 FOR TWO,,
Cake It Up,Salt Lake,20+ ratings,55,Suraj Apartment; Action Area I; Newtown; Kolkata; West Bengal 700156; India,Salt Lake,['Bakery' 'Desserts'],₹300 FOR TWO,,,
EURO CAFE,Salt Lake,20+ ratings,58,Module No. G-06; Ground floor; C.F. Building; Shilpangan; Plot No. 1;  Block LB; Sector III; Bidhannagar;Kolkata-,Salt Lake,['Continental' 'Italian' 'Beverages'],₹400 FOR TWO,,,
Nawab Dum Biryani,Sector V Salt Lake,Too Few Ratings,52,MAHISBATHAN; MB 249; P.OKRISHNAPUR; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Sector V Salt Lake,['Biryani' 'North Indian' 'Fast Food'],₹200 FOR TWO,,,
Flambe - Hotel The Sojourn,Bidhannagar,Too Few Ratings,53,Hotel The Sojourn; KB 23; Sector 3; Salt Lake; Kolkata,Near AMRI hospital,['Indian' 'Chinese' 'Continental'],₹800 FOR TWO,,,
The City Momos,Sector V Salt Lake,Too Few Ratings,52,MAHISBATHAN; MB 249; P.O- KRISHNAPUR;; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Sector V Salt Lake,['Chinese' 'North Indian' 'Biryani'],₹200 FOR TWO,,,
Kolkata 120,Sector V Salt Lake,Too Few Ratings,52,MAHISBATHAN; MB 249; P.O- KRISHNAPUR;; WARD NO-28;  BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Sector V Salt Lake,['Indian'],₹200 FOR TWO,,,
RITIJA KITCHEN,Sector V Salt Lake,Too Few Ratings,49,BH 155 KRISHNA NAGAR VIDYASAGAR PALLY KOLKATA - 700102 ; BIDHANNAGAR RAJARHAT MUNCIPAL CORPORATION; NORTH TWENTY FOUR PARGANAS ; WEST BENGAL - 700102,Sector V Salt Lake,['North Indian' 'Chinese' 'Pastas' 'Snacks'],₹210 FOR TWO,,,
Kolkata @ 100,Sector V Salt Lake,Too Few Ratings,52,MAHISBATHAN; MB 249; P.OKRISHNAPUR; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Sector V Salt Lake,['Indian' 'Chinese'],₹200 FOR TWO,,,
The Hot Bite,Sector V Salt Lake,Too Few Ratings,52,MAHISBATHAN; MB 249; P.OKRISHNAPUR; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Sector V Salt Lake,['Indian' 'Chinese' 'Snacks'],₹200 FOR TWO,,,
The Happy Restaurant,Sector V Salt Lake,Too Few Ratings,55,MAHISBATHAN; MB 249; P.OKRISHNAPUR; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Sector V Salt Lake,['Chinese'],₹200 FOR TWO,,,
Manisha Dum Biryani,Sector V Salt Lake,Too Few Ratings,52,MAHISBATHAN; MB 249; P.O- KRISHNAPUR;; WARD NO-28;  BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Sector V Salt Lake,['Chinese'],₹200 FOR TWO,,,
MUGHLIANA,Salt Lake,Too Few Ratings,59,Ground Floor; Premises No. E-164; Sukantanagar; Saltlake; Sector IV; Kolkata; WARD NO-35; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700098,Salt Lake,['Mughlai'],₹300 FOR TWO,,,
The Taste Of Cheese,Salt Lake,Too Few Ratings,58,sukanta nagar P-351; salt lake sec-4; WARD NO-35; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700098,Rajarhat,['Pizzas' 'Fast Food' 'Snacks'],₹350 FOR TWO,,,
Go Green-Kankurgachi,Kankurgachi,20+ ratings,59,Go Green; P-252; C.I.T. Road 1st Floor; Scheme VIM. Kankurgchi; Phoolbagan. Near Crossing Kankurgachi; Kolkata; West Bengal 700054,Kakurgachi Crossing,['North Indian' 'Chinese' 'Mexican' 'Lebanese'],₹700 FOR TWO,,,
MADE IN AMRITSAR - Saltlake,Dhapa,50+ ratings,49,MB-482; MAHISBATHAN; SALT LAKE; KOLKATA-700102,Salt Lake,['Biryani' 'Indian' 'North Indian' 'Mughlai' 'Tandoor' 'Kebabs' 'Thalis' 'Punjabi' 'Desserts' 'Beverages' 'Home Food'],₹250 FOR TWO,,,
THE INDIAN CHAI,Burrabazar,Too Few Ratings,50,P232-A SWAMI SWARUPANANDA SARANI; 1ST FLOOR; KOLKATA - 700054,Burrabazar,['Beverages'],₹450 FOR TWO,,,
The Rose,Kankurgachi,50+ ratings,52,P180; CIT Road; Kadapara; Phool Bagan; Kankurgachi; Kolkata; West Bengal; India,Kankurgachi,['Chinese' 'North Indian'],₹700 FOR TWO,,,
NOODLES WORLD,Sector V Salt Lake,20+ ratings,67,MB 514;Mahish Bathan; Majherpara; Lake side public sector-5 pincode-700102,Sector V Salt Lake,['Chinese'],₹500 FOR TWO,,,
KAVIAR,Salt Lake,Too Few Ratings,53,LB SECTOR III SALT LAKE BHIDANNAGAR RAJHARHAT MUNICIPAL CORPORATION NORTH TWENTY FOUR PARGANAS (WEST BENGAL) 700106,Salt Lake,['Fast Food'],₹200 FOR TWO,,,
WOK N KADHAAI,Salt Lake,100+ ratings,55,Premises No - MB 646 Maheshbatan Dakshinpara; BidhanNagar; North 24 Parganas; Kolkata 700102,Salt Lake,['Indian' 'Chinese' 'North Indian' 'Thai' 'Tandoor' 'Fast Food'],₹300 FOR TWO,,,
THE CAKE,Dakshindari,20+ ratings,65,M/s. THE CAKE - 17K/6; DAKSHINDARI ROAD;P.O- SRIBHUMI; P.S- LAKE TOWN; WARD NO-35; SOUTH DUM DUM MUNICIPALITY; NORTH TWENTY FOUR Pragnas; West Bengal - 700048,Ultadanga, Near Adhar Point,['Bakery' 'Desserts'],₹200 FOR TWO,,
Kai Chufang,Salt Lake, Ultadanga,Too Few Ratings,49,P - 187; HUDCO Crossing; behind P.C. Chandra Showroom; CIT Scheme VII M; Ultadanga; Kolkata; West Bengal 700054; India,Burrabazar,['Chinese'],₹300 FOR TWO,,
Haryana Sweets,Kankurgachi,100+ ratings,43,P-54; CIT ROAD; SCHEME-VI M.WARD NO-31; KOLKATA MUNICIPAL CORPORATION; KOLKATA WEST BENGAL  700054,Kankurgachi,['Sweets' 'Snacks' 'Desserts'],₹300 FOR TWO,,,
Monginis,Burrabazar,Too Few Ratings,52,GROUND FLOOR; B/95/H/2/3;DR.S.C BANERJEE ROAD; BELEGHATA;NEAR RAGINI CINEMA HALL.,Burrabazar,['Desserts' 'Bakery'],₹300 FOR TWO,,,
Kamlesh Dhaba,Salt Lake,Too Few Ratings,61,Kamlesh Kumar Mandal; Bl-49 Saltlake City; Sector -2 Near-Tank No 8; P.O- Sechbhawan; KOLKATA MUNICIPAL CORPORATION; Kolkata (West Bengal); - 700091,Salt Lake,['North Indian'],₹200 FOR TWO,,,
Wow Kitchen,Salt Lake,Too Few Ratings,50,Sukant Nagar; Sector IV; Bidhannagar; Kolkata; West Bengal 700098; India,Salt Lake,['North Indian' 'Biryani'],₹400 FOR TWO,,,
JESSORE LOCAL,Salt Lake,20+ ratings,62,MB 232; MAHISHBATHAN;SALT LAKE SECTOR-5;KOLKATA-700102; BIDHANNAGARRAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal-700102,Salt Lake,['Bengali' 'Thalis' 'Biryani' 'Desserts'],₹400 FOR TWO,,,
The baklava box,Kankurgachi,20+ ratings,49,P47 CIT SCHEME,kankurganchi,['Sweets' 'Desserts' 'Bakery'],₹400 FOR TWO,,,
Tandoori Kadhai,Salt Lake,Too Few Ratings,57,MB-675; MAHISHBATHAN; DAKSHINPARA;  SALTLAKE; KOLKATA-700102; WARD NO-33;  BIDHANNAGAR-RAJARHAT MUNICIPAL  CORPORATION; North Twenty Four  Parganas; West Bengal - 700102,Salt Lake,['North Indian' 'Indian' 'Biryani'],₹300 FOR TWO,,,
Aladdin Online,Salt Lake,20+ ratings,50,MB-675; MAHISHBATHAN; DAKSHINPARA; SALTLAKE; KOLKATA-700102; WARD NO-33; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Salt Lake,['Indian'],₹300 FOR TWO,,,
New Bela Arsalan Biryani House,Newtown,100+ ratings,42, Thakdari road balakha abasan Gate New Town kolkata 700156,balakha abasan Gate,['Biryani' 'Indian'],₹200 FOR TWO,,,
Bhoj Khalifa,Salt Lake,Too Few Ratings,52,Ground Floor; Nokia Care Building;17/36; Dakshindari Rd; Dakshindari; Kolkata; West Bengal 700048; India,Salt Lake,['Chinese' 'Indian' 'Beverages'],₹500 FOR TWO,,,
Momore@Home,Bidhannagar,Too Few Ratings,64,MB 231; Anand Bhawan; Mahisbatan; Near Tarunsangha Club; Kolkata,Near Mahisbatan tarun sangha club,['Chinese' 'Thai'],₹200 FOR TWO,,,
Weston Kitchens,Salt Lake,Too Few Ratings,51,675; Mahisbathan Rd; kishanagar; Mahish Bathan; Sector V; Dhapa; Kolkata; West Bengal 700156; India,Salt Lake,['Thalis'],₹250 FOR TWO,,,
BIA BRISHTI,Kankurgachi,Too Few Ratings,53,P-274; C.I.T. SCH-VIM; P.S.- PHOOL BAGAN;P.O.- KANKURGACHI; WARD NO. 31;BOROUGH- III; KOLKATA -700054,Kankurgachi,['Chinese' 'Snacks'],₹200 FOR TWO,,,
The Schezwan Legacy,Salt Lake,Too Few Ratings,56,MB-675; MAHISHBATHAN; DAKSHINPARA;  SALTLAKE; KOLKATA-700102; WARD NO-33;  BIDHANNAGAR-RAJARHAT MUNICIPAL  CORPORATION; North Twenty Four  Parganas; West Bengal - 700102,Salt Lake,['Chinese' 'Thai' 'Combo'],₹300 FOR TWO,,,
Charnock's,Salt Lake,Too Few Ratings,59,KB-26; Sec-3; Salt Lake; Kolkata- 700098; Barasat-1; North Twenty Four Parganas; West Bengal-700098,Salt Lake,['North Indian' 'Biryani' 'Mughlai' 'Chinese' 'Desserts'],₹1000 FOR TWO,,,
